URL,Page Name,Page Location,Description,class,event-category,event-action,event-label,Action,Questions,QA Comments
TBD,Homepage,Header,PDF but hosted on Esperion,gtm-link-internal,Internal Link,Click,Prescribing Information,,,
TBD,Homepage,Header,Link,gtm-link-internal,Internal Link,Click,Important Safety Information,,,
TBD,Homepage,Body,Link,gtm-link-internal,Internal Link,Click,Nexletol Logo,,Are there any differences between Nexlizet site content vs Nexletol?,
TBD,Homepage,Body,CTA - Press Release Button,gtm-cta,Main CTA,Click,Press Release,,,
TBD,Homepage,Body,Form - What is your role?,gtm-form,Now Approved Form,Click,Registered Nurse / Licensed Practical Nurse,,,
TBD,Homepage,Body,Form - What is your role?,gtm-form,Now Approved Form,Click,Doctor / Physician,,,
TBD,Homepage,Body,Form - What is your role?,gtm-form,Now Approved Form,Click,Nurse Practitioner / Physicians Assistant,,,
TBD,Homepage,Body,Form - What is your role?,gtm-form,Now Approved Form,Click,Pharmacist / Pharmacy Technician,,,
,Homepage,Body,Form - What is your role?,gtm-form,Now Approved Form,Click,Other - Role,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Cardiology,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Family Medicine,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Endocrinology,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,General Medicine,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Hepatology,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Internal Medicine,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Lipidology,,,
TBD,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Primary Care,,,
,Homepage,Body,Form - What is your specialty?,gtm-form,Now Approved Form,Click,Other - Specialty,,,
TBD,Homepage,Body,Form - Prefix,gtm-form,Now Approved Form,Filled,Prefix,,,
TBD,Homepage,Body,Form - First Name,gtm-form,Now Approved Form,Filled,First Name,,,
TBD,Homepage,Body,Form - Last Name,gtm-form,Now Approved Form,Filled,Last Name,,,
TBD,Homepage,Body,Form - Suffix,gtm-form,Now Approved Form,Filled,Suffix,,,
TBD,Homepage,Body,Form - Email Address,gtm-form,Now Approved Form,Filled,Email Address,,,
TBD,Homepage,Body,Form - Office Zip Code,gtm-form,Now Approved Form,Filled,Office Zip Code,,,
TBD,Homepage,Body,Form - NPI Number,gtm-form,Now Approved Form,Filled,NPI Number,,,
TBD,Homepage,Body,Form - Postal Mail,gtm-form,Now Approved Form,Checked,Postal Mail,,,
TBD,Homepage,Body,Form - Affiliated Hospital,gtm-form,Now Approved Form,Filled,Affiliated Hospital,,,
TBD,Homepage,Body,Form - Office Name,gtm-form,Now Approved Form,Filled,Office Name,,,
TBD,Homepage,Body,Form - Office Address,gtm-form,Now Approved Form,Filled,Office Address,,,
TBD,Homepage,Body,Form - Office Address 2,gtm-form,Now Approved Form,Filled,Office Address 2,,,
TBD,Homepage,Body,Form - Office City,gtm-form,Now Approved Form,Filled,Office City,,,
TBD,Homepage,Body,Form - Office State,gtm-form,Now Approved Form,Filled,Office State,,,
TBD,Homepage,Body,Form - Terms and Conditions,gtm-form,Now Approved Form,Checked,Agree Terms and Conditions,,,
TBD,Homepage,Body,Form -- Privacy Policy,gtm-form,Now Approved Form,Click,Privacy Policy,,,
TBD,Homepage,Body,Form - Terms of Use,gtm-form,Now Approved Form,Click,Terms of Use,,,
TBD,Homepage,Body,Form - Keep Me Up to Date,gtm-form,Now Approved Form,Click,Keep Me Up to Date,,,
TBD,Homepage - Thank You Page,Body,Form - Success Submit (Thank You Page),gtm-form,Now Approved Form,Success,Success Submit (Thank You Page),,,
TBD,Homepage - Thank You Page,Body,CTA - Back to Homepage,gtm-cta,Main CTA,Click,Back to Homepage,,,
TBD,Homepage,Footer,Important Safety Information,gtm-isi,ISI,Click,Expand ISI,,,
TBD,Homepage,Footer,Important Safety Information,gtm-isi,ISI,Click,Close ISI,,,
TBD,Homepage,Footer,Esperion Logo,gtm-link-external,Outbound Link,Click,Esperion Logo,,,
TBD,Homepage,Footer,Terms of Use,gtm-link-internal,Internal Link,Click,Terms of Use,,,
TBD,Homepage,Footer,Privacy Policy,gtm-link-internal,Internal Link,Click,Privacy Policy,,,
